Time,SensorTimestamp,Value,Sensor
5,1.13732202E14,183932.0,MAX86915 IR
5,1.13732202E14,169091.0,MAX86915 RED
6,1.1373221E14,183951.0,MAX86915 IR
6,1.1373221E14,169105.0,MAX86915 RED
7,1.13732219E14,183986.0,MAX86915 IR
7,1.13732219E14,169108.0,MAX86915 RED
8,1.13732236E14,184004.0,MAX86915 IR
8,1.13732236E14,169095.0,MAX86915 RED
9,1.13732244E14,183994.0,MAX86915 IR
9,1.13732244E14,169085.0,MAX86915 RED
10,1.13732252E14,184026.0,MAX86915 IR
10,1.13732252E14,169081.0,MAX86915 RED
11,1.13732261E14,184010.0,MAX86915 IR
11,1.13732261E14,169080.0,MAX86915 RED
12,1.13732269E14,184024.0,MAX86915 IR
12,1.13732269E14,169055.0,MAX86915 RED
13,1.13732286E14,184023.0,MAX86915 IR
13,1.13732286E14,169052.0,MAX86915 RED
14,1.13732294E14,184031.0,MAX86915 IR
14,1.13732294E14,169040.0,MAX86915 RED
15,1.13732319E14,373051.0,MAX86915 IR
15,1.13732319E14,367750.0,MAX86915 RED
16,1.13732328E14,372993.0,MAX86915 IR
16,1.13732328E14,367727.0,MAX86915 RED
17,1.13732345E14,372999.0,MAX86915 IR
17,1.13732345E14,367679.0,MAX86915 RED
18,1.13732353E14,373003.0,MAX86915 IR
18,1.13732353E14,367587.0,MAX86915 RED
19,1.13732361E14,372995.0,MAX86915 IR
19,1.13732361E14,367647.0,MAX86915 RED
20,1.1373237E14,373025.0,MAX86915 IR
20,1.1373237E14,367590.0,MAX86915 RED
21,1.13732378E14,372990.0,MAX86915 IR
21,1.13732378E14,367559.0,MAX86915 RED
22,1.13732395E14,372980.0,MAX86915 IR
22,1.13732395E14,367503.0,MAX86915 RED
23,1.13732403E14,372993.0,MAX86915 IR
23,1.13732403E14,367479.0,MAX86915 RED
24,1.13732412E14,372969.0,MAX86915 IR
24,1.13732412E14,367442.0,MAX86915 RED
25,1.1373242E14,372940.0,MAX86915 IR
25,1.1373242E14,367439.0,MAX86915 RED
26,1.13732428E14,372957.0,MAX86915 IR
26,1.13732428E14,367360.0,MAX86915 RED
27,1.13732445E14,372997.0,MAX86915 IR
27,1.13732445E14,367364.0,MAX86915 RED
28,1.13732454E14,372994.0,MAX86915 IR
28,1.13732454E14,367392.0,MAX86915 RED
29,1.13732462E14,372988.0,MAX86915 IR
29,1.13732462E14,367331.0,MAX86915 RED
30,1.1373247E14,373022.0,MAX86915 IR
30,1.1373247E14,367316.0,MAX86915 RED
31,1.13732479E14,373018.0,MAX86915 IR
31,1.13732479E14,367329.0,MAX86915 RED
32,1.13732496E14,373028.0,MAX86915 IR
32,1.13732496E14,367294.0,MAX86915 RED
33,1.13732504E14,372995.0,MAX86915 IR
33,1.13732504E14,367298.0,MAX86915 RED
34,1.13732512E14,373054.0,MAX86915 IR
34,1.13732512E14,367243.0,MAX86915 RED
35,1.13732521E14,373046.0,MAX86915 IR
35,1.13732521E14,367220.0,MAX86915 RED
36,1.13732529E14,373049.0,MAX86915 IR
36,1.13732529E14,367198.0,MAX86915 RED
37,1.13732538E14,373094.0,MAX86915 IR
37,1.13732538E14,367192.0,MAX86915 RED
38,1.13732554E14,373080.0,MAX86915 IR
38,1.13732554E14,367187.0,MAX86915 RED
39,1.13732563E14,373087.0,MAX86915 IR
39,1.13732563E14,367190.0,MAX86915 RED
40,1.13732571E14,373100.0,MAX86915 IR
40,1.13732571E14,367150.0,MAX86915 RED
41,1.13732579E14,373111.0,MAX86915 IR
41,1.13732579E14,367142.0,MAX86915 RED
42,1.13732588E14,373141.0,MAX86915 IR
42,1.13732588E14,367145.0,MAX86915 RED
43,1.13732605E14,373153.0,MAX86915 IR
43,1.13732605E14,367160.0,MAX86915 RED
44,1.13732613E14,373156.0,MAX86915 IR
44,1.13732613E14,367126.0,MAX86915 RED
45,1.13732621E14,373151.0,MAX86915 IR
45,1.13732621E14,367132.0,MAX86915 RED
46,1.1373263E14,373176.0,MAX86915 IR
46,1.1373263E14,367131.0,MAX86915 RED
47,1.13732638E14,373175.0,MAX86915 IR
47,1.13732638E14,367139.0,MAX86915 RED
48,1.13732655E14,373211.0,MAX86915 IR
48,1.13732655E14,367105.0,MAX86915 RED
49,1.13732663E14,373211.0,MAX86915 IR
49,1.13732663E14,367049.0,MAX86915 RED
50,1.13732672E14,373221.0,MAX86915 IR
50,1.13732672E14,367045.0,MAX86915 RED
51,1.1373268E14,373239.0,MAX86915 IR
51,1.1373268E14,367015.0,MAX86915 RED
52,1.13732689E14,373241.0,MAX86915 IR
52,1.13732689E14,367011.0,MAX86915 RED
53,1.13732705E14,373254.0,MAX86915 IR
53,1.13732705E14,367049.0,MAX86915 RED
54,1.13732714E14,373236.0,MAX86915 IR
54,1.13732714E14,367000.0,MAX86915 RED
55,1.13732722E14,373287.0,MAX86915 IR
55,1.13732722E14,366981.0,MAX86915 RED
56,1.1373273E14,373261.0,MAX86915 IR
56,1.1373273E14,366926.0,MAX86915 RED
57,1.13732739E14,373257.0,MAX86915 IR
57,1.13732739E14,367010.0,MAX86915 RED
58,1.13732756E14,373297.0,MAX86915 IR
58,1.13732756E14,366971.0,MAX86915 RED
59,1.13732764E14,373319.0,MAX86915 IR
59,1.13732764E14,366948.0,MAX86915 RED
60,1.13732772E14,373339.0,MAX86915 IR
60,1.13732772E14,366918.0,MAX86915 RED
61,1.13732781E14,373402.0,MAX86915 IR
61,1.13732781E14,366975.0,MAX86915 RED
62,1.13732789E14,373360.0,MAX86915 IR
62,1.13732789E14,366941.0,MAX86915 RED
63,1.13732798E14,373327.0,MAX86915 IR
63,1.13732798E14,366856.0,MAX86915 RED
64,1.13732814E14,373170.0,MAX86915 IR
64,1.13732814E14,366748.0,MAX86915 RED
65,1.13732823E14,372904.0,MAX86915 IR
65,1.13732823E14,366543.0,MAX86915 RED
66,1.13732831E14,372535.0,MAX86915 IR
66,1.13732831E14,366314.0,MAX86915 RED
67,1.1373284E14,372002.0,MAX86915 IR
67,1.1373284E14,366020.0,MAX86915 RED
68,1.13732848E14,371394.0,MAX86915 IR
68,1.13732848E14,365661.0,MAX86915 RED
69,1.13732865E14,370808.0,MAX86915 IR
69,1.13732865E14,365417.0,MAX86915 RED
70,1.13732873E14,370327.0,MAX86915 IR
70,1.13732873E14,365145.0,MAX86915 RED
71,1.13732881E14,369981.0,MAX86915 IR
71,1.13732881E14,364973.0,MAX86915 RED
72,1.1373289E14,369696.0,MAX86915 IR
72,1.1373289E14,364779.0,MAX86915 RED
73,1.13732898E14,369512.0,MAX86915 IR
73,1.13732898E14,364697.0,MAX86915 RED
74,1.13732915E14,369403.0,MAX86915 IR
74,1.13732915E14,364614.0,MAX86915 RED
75,1.13732923E14,369336.0,MAX86915 IR
75,1.13732923E14,364602.0,MAX86915 RED
76,1.13732932E14,369291.0,MAX86915 IR
76,1.13732932E14,364598.0,MAX86915 RED
77,1.1373294E14,369277.0,MAX86915 IR
77,1.1373294E14,364539.0,MAX86915 RED
78,1.13732949E14,369305.0,MAX86915 IR
78,1.13732949E14,364482.0,MAX86915 RED
79,1.13732965E14,369328.0,MAX86915 IR
79,1.13732965E14,364448.0,MAX86915 RED
80,1.13732974E14,369376.0,MAX86915 IR
80,1.13732974E14,364484.0,MAX86915 RED
81,1.13732982E14,369396.0,MAX86915 IR
81,1.13732982E14,364476.0,MAX86915 RED
82,1.13732991E14,369398.0,MAX86915 IR
82,1.13732991E14,364432.0,MAX86915 RED
83,1.13732999E14,369408.0,MAX86915 IR
83,1.13732999E14,364473.0,MAX86915 RED
84,1.13733007E14,369357.0,MAX86915 IR
84,1.13733007E14,364434.0,MAX86915 RED
85,1.13733024E14,369345.0,MAX86915 IR
85,1.13733024E14,364361.0,MAX86915 RED
86,1.13733032E14,369263.0,MAX86915 IR
